|   paytin   |    girl    |    girl    |     1      |
|  peterson  |    boy     |    boy     |     1      |
|  kailene   |    girl    |    girl    |     1      |
|   edrei    |    girl    |    boy     |     0      |
|  brixton   |    boy     |    both    |     0      |
|   saford   |    boy     |    boy     |     1      |
|    dona    |    girl    |    girl    |     1      |
|   shane    |    girl    |    both    |     0      |
|  maziyah   |    girl    |    girl    |     1      |
|   ethen    |    boy     |    boy     |     1      |
|   erryn    |    girl    |    girl    |     1      |
|   adelin   |    girl    |    girl    |     1      |
|  facundo   |    boy     |    boy     |     1      |
|   itzia    |    girl    |    girl    |     1      |
|    kody    |    boy     |    both    |     0      |
|   barret   |    boy     |    boy     |     1      |
|   gracia   |    girl    |    girl    |     1      |
|   marlie   |    girl    |    girl    |     1      |
|  wauneta   |    girl    |    girl    |     1      |
|  nicanor   |    boy     |    boy     |     1      |
|  lindsey   |    girl    |    both    |     0      |
|  addalie   |    girl    |    girl    |     1      |
|  arville   |    girl    |    boy     |     0      |
|   megyn    |    girl    |    girl    |     1      |
|   ervin    |    boy     |    boy     |     1      |
|  emmajean  |    boy     |    girl    |     0      |
|  hadleigh  |    girl    |    girl    |     1      |
|   alyzae   |    girl    |    girl    |     1      |
|   mahala   |    girl    |    girl    |     1      |
|  marilee   |    girl    |    girl    |     1      |
|  tatsumi   |    girl    |    boy     |     0      |
|   kinlee   |    girl    |    girl    |     1      |
|  earleen   |    girl    |    girl    |     1      |
|   apollo   |    boy     |    boy     |     1      |
|    jud     |    boy     |    boy     |     1      |
|   ivann    |    girl    |    boy     |     0      |
| anastasiya |    girl    |    girl    |     1      |
|  catalaya  |    girl    |    girl    |     1      |
|   jelena   |    girl    |    girl    |     1      |
|   nghia    |    girl    |    boy     |     0      |
|   coltin   |    boy     |    boy     |     1      |
|  meiling   |    girl    |    girl    |     1      |
|    saki    |    boy     |    girl    |     0      |
|    gio     |    boy     |    boy     |     1      |
|   leena    |    girl    |    girl    |     1      |
|   kyong    |    boy     |    girl    |     0      |
|   dannie   |    girl    |    both    |     0      |
|  jermane   |    boy     |    boy     |     1      |
|   ronak    |    boy     |    boy     |     1      |
|    lain    |    boy     |    boy     |     1      |
|  tiffanie  |    girl    |    girl    |     1      |
|   arman    |    boy     |    boy     |     1      |
|   cruise   |    girl    |    boy     |     0      |
|   elwood   |    boy     |    both    |     0      |
|   idman    |    boy     |    girl    |     0      |
|   kelaia   |    girl    |    girl    |     1      |
|   kaylin   |    girl    |    both    |     0      |
|    dola    |    girl    |    girl    |     1      |
|  stedman   |    boy     |    boy     |     1      |
|   abdon    |    boy     |    boy     |     1      |
|   breda    |    girl    |    girl    |     1      |
|   layla    |    girl    |    both    |     0      |
|  eriberto  |    boy     |    boy     |     1      |
|  draylon   |    boy     |    boy     |     1      |
|    kion    |    boy     |    boy     |     1      |
|   yissel   |    girl    |    girl    |     1      |
|  liboria   |    girl    |    girl    |     1      |
|    rami    |    girl    |    boy     |     0      |
|    odie    |    boy     |    both    |     0      |
|   jaysha   |    girl    |    girl    |     1      |
|  mahaley   |    girl    |    girl    |     1      |
|    neli    |    girl    |    girl    |     1      |
|    kacy    |    both    |    both    |     1      |
|   lujain   |    boy     |    girl    |     0      |
| terrilynn  |    girl    |    girl    |     1      |
|   rosaly   |    girl    |    girl    |     1      |
|   jaykob   |    boy     |    boy     |     1      |
|  tiberius  |    boy     |    boy     |     1      |
|   danyel   |    boy     |    both    |     0      |
| bonnielee  |    girl    |    girl    |     1      |
|    para    |    girl    |    girl    |     1      |
|   doyel    |    boy     |    boy     |     1      |
|    hero    |    boy     |    boy     |     1      |
|   tawnie   |    girl    |    girl    |     1      |
|   dhriti   |    girl    |    girl    |     1      |
|   mavis    |    boy     |    both    |     0      |
|   henryk   |    boy     |    boy     |     1      |
|   judson   |    both    |    boy     |     0      |
|   willam   |    boy     |    boy     |     1      |
| kensleigh  |    girl    |    girl    |     1      |
|   lashea   |    girl    |    girl    |     1      |
|  faustino  |    boy     |    boy     |     1      |
|    joab    |    boy     |    boy     |     1      |
|   aniyha   |    girl    |    girl    |     1      |
|   dason    |    boy     |    boy     |     1      |
|   trina    |    girl    |    girl    |     1      |
|  eulalia   |    girl    |    girl    |     1      |
|  brightyn  |    girl    |    girl    |     1      |
|   chelle   |    girl    |    girl    |     1      |
|  rodregus  |    boy     |    boy     |     1      |
|  azusena   |    girl    |    girl    |     1      |
|   kashia   |    girl    |    girl    |     1      |
|   matheo   |    boy     |    boy     |     1      |
|   lotus    |    boy     |    girl    |     0      |
|  ezequiel  |    boy     |    boy     |     1      |
|   anner    |    boy     |    girl    |     0      |
|    true    |    boy     |    both    |     0      |
|   janeal   |    girl    |    girl    |     1      |
|  sentoria  |    girl    |    girl    |     1      |
|   fumiye   |    girl    |    girl    |     1      |
|   saket    |    boy     |    boy     |     1      |
|   gerda    |    girl    |    girl    |     1      |
|   briona   |    girl    |    girl    |     1      |
|  emmerson  |    boy     |    girl    |     0      |
|    aliz    |    girl    |    girl    |     1      |
| rodriquez  |    boy     |    boy     |     1      |
|    tiye    |    girl    |    girl    |     1      |
|   calli    |    girl    |    girl    |     1      |
|   vinson   |    boy     |    boy     |     1      |
|  ladonte   |    boy     |    boy     |     1      |
|  taiesha   |    girl    |    girl    |     1      |
|  esteven   |    boy     |    boy     |     1      |
|   ailah    |    girl    |    girl    |     1      |
|  bernita   |    girl    |    girl    |     1      |
|   haakon   |    girl    |    boy     |     0      |
|  mattison  |    boy     |    girl    |     0      |
|   keilah   |    girl    |    girl    |     1      |
|   camil    |    boy     |    boy     |     1      |
|   nason    |    boy     |    boy     |     1      |
|   becket   |    boy     |    boy     |     1      |
|     vy     |    boy     |    girl    |     0      |
|  tywanda   |    girl    |    girl    |     1      |
|   landan   |    both    |    boy     |     0      |
|   avrumi   |    girl    |    boy     |     0      |
|  andrews   |    boy     |    boy     |     1      |
|  geneviev  |    girl    |    girl    |     1      |
|  arianni   |    girl    |    girl    |     1      |
|   sereen   |    girl    |    girl    |     1      |
|  nykesha   |    girl    |    girl    |     1      |
|    avie    |    girl    |    girl    |     1      |
|   jadira   |    girl    |    girl    |     1      |
|   colbie   |    girl    |    girl    |     1      |
|   chesky   |    boy     |    boy     |     1      |
|   erron    |    boy     |    boy     |     1      |
|  beyonce   |    girl    |    girl    |     1      |
|   sherin   |    girl    |    girl    |     1      |
|   easton   |    boy     |    both    |     0      |
| quayshawn  |    boy     |    boy     |     1      |
|   marjo    |    boy     |    girl    |     0      |
|   kowan    |    boy     |    boy     |     1      |
|   jibran   |    boy     |    boy     |     1      |
|   jermal   |    boy     |    boy     |     1      |
|   shelle   |    girl    |    girl    |     1      |
|   jager    |    boy     |    boy     |     1      |
|   ratzy    |    girl    |    girl    |     1      |
| rontavious |    boy     |    boy     |     1      |
|   jabari   |    boy     |    boy     |     1      |
|   anahit   |    girl    |    girl    |     1      |
|    angi    |    girl    |    girl    |     1      |
|   brien    |    boy     |    boy     |     1      |
|    luna    |    girl    |    girl    |     1      |
|  ashiyah   |    girl    |    girl    |     1      |
|   platon   |    boy     |    boy     |     1      |
|   jayna    |    girl    |    girl    |     1      |
|  iridian   |    boy     |    girl    |     0      |
|  nafeesah  |    girl    |    girl    |     1      |
|   bethzi   |    girl    |    girl    |     1      |
| margarito  |    both    |    boy     |     0      |
|   curlee   |    girl    |    boy     |     0      |
|    kaio    |    boy     |    boy     |     1      |
|   saheed   |    boy     |    boy     |     1      |
|   aahil    |    boy     |    boy     |     1      |
|   curlie   |    girl    |    girl    |     1      |
|   blain    |    boy     |    boy     |     1      |
|   agron    |    boy     |    boy     |     1      |
|   finley   |    girl    |    both    |     0      |
|  zaylynn   |    girl    |    girl    |     1      |
|  kristene  |    girl    |    girl    |     1      |
|  nichelle  |    girl    |    both    |     0      |
|   daana    |    girl    |    girl    |     1      |
|  kameshia  |    girl    |    girl    |     1      |
|   marco    |    boy     |    both    |     0      |
|   hagan    |    girl    |    boy     |     0      |
|   franko   |    girl    |    boy     |     0      |
|   averi    |    girl    |    girl    |     1      |
|  melonie   |    girl    |    girl    |     1      |
|  landree   |    girl    |    girl    |     1      |
|   naila    |    girl    |    girl    |     1      |
|  shannell  |    girl    |    girl    |     1      |
|   kenan    |    boy     |    boy     |     1      |
|  keleigh   |    girl    |    girl    |     1      |
| johnathen  |    boy     |    boy     |     1      |
|   tymia    |    girl    |    girl    |     1      |
|   camryn   |    girl    |    both    |     0      |
|   titan    |    boy     |    boy     |     1      |
|   ilene    |    girl    |    girl    |     1      |
|  muntaha   |    girl    |    girl    |     1      |
|   linna    |    girl    |    girl    |     1      |
|   mccoy    |    boy     |    boy     |     1      |
|  ruchama   |    boy     |    girl    |     0      |
|  bristol   |    girl    |    both    |     0      |
|   ailany   |    girl    |    girl    |     1      |
|   misayo   |    girl    |    girl    |     1      |
|   jalana   |    girl    |    girl    |     1      |
|   birdia   |    girl    |    girl    |     1      |
|    mae     |    girl    |    both    |     0      |
|  chaitra   |    girl    |    girl    |     1      |
|   camri    |    girl    |    girl    |     1      |
| anasophia  |    girl    |    girl    |     1      |
|   xaria    |    girl    |    girl    |     1      |
|  catalino  |    boy     |    boy     |     1      |
| georgianne |    girl    |    girl    |     1      |
|   delone   |    girl    |    girl    |     1      |
|   ndrew    |    boy     |    boy     |     1      |
|   juluis   |    boy     |    boy     |     1      |
|    ariv    |    boy     |    boy     |     1      |
|  ranulfo   |    boy     |    boy     |     1      |
|    exie    |    girl    |    girl    |     1      |
|   edrik    |    boy     |    boy     |     1      |
|   earma    |    girl    |    girl    |     1      |
|  pearson   |    boy     |    boy     |     1      |
|   lavona   |    girl    |    girl    |     1      |
|  harmoni   |    girl    |    girl    |     1      |
|   teola    |    girl    |    girl    |     1      |
|   darith   |    boy     |    boy     |     1      |
|   katye    |    both    |    girl    |     0      |
|   ramata   |    girl    |    girl    |     1      |
|  adleigh   |    girl    |    girl    |     1      |
|   kamen    |    boy     |    boy     |     1      |
|  laverna   |    girl    |    girl    |     1      |
|  kentaro   |    boy     |    boy     |     1      |
|   lliam    |    boy     |    boy     |     1      |
|  suzzette  |    girl    |    girl    |     1      |
|  deshawna  |    girl    |    girl    |     1      |
|  dimitri   |    boy     |    both    |     0      |
|  shalawn   |    both    |    girl    |     0      |
|  tremayne  |    boy     |    boy     |     1      |
| bronislaus |    boy     |    boy     |     1      |
|   norvin   |    boy     |    boy     |     1      |
|   blenda   |    girl    |    girl    |     1      |
|  milagros  |    boy     |    girl    |     0      |
|  scherry   |    girl    |    girl    |     1      |
|  santiel   |    girl    |    boy     |     0      |
|   degan    |    girl    |    boy     |     0      |
|   henna    |    girl    |    girl    |     1      |
|   alicia   |    girl    |    both    |     0      |
|    rida    |    girl    |    girl    |     1      |
|   dondi    |    girl    |    both    |     0      |
|  braelen   |    girl    |    boy     |     0      |
|   anelis   |    girl    |    girl    |     1      |
|   danita   |    girl    |    girl    |     1      |
| hennessey  |    girl    |    girl    |     1      |
|   milani   |    girl    |    girl    |     1      |
|   nitin    |    boy     |    boy     |     1      |
|   arlin    |    both    |    both    |     1      |
|    pono    |    boy     |    boy     |     1      |
|   audine   |    girl    |    girl    |     1      |
|  miracle   |    girl    |    girl    |     1      |
|   verdie   |    girl    |    girl    |     1      |
|  avriana   |    girl    |    girl    |     1      |
|   zavior   |    boy     |    boy     |     1      |
|   diesel   |    girl    |    boy     |     0      |
|  shawndra  |    girl    |    girl    |     1      |
|  analaya   |    girl    |    girl    |     1      |
|   tarun    |    boy     |    boy     |     1      |
|   aksel    |    girl    |    boy     |     0      |
| marquavis  |    boy     |    boy     |     1      |
|    naim    |    boy     |    boy     |     1      |
|   lyana    |    girl    |    girl    |     1      |
|    cora    |    girl    |    girl    |     1      |
|  castiel   |    boy     |    boy     |     1      |
|   kolbi    |    girl    |    girl    |     1      |
|   duilio   |    boy     |    boy     |     1      |
|  tadashi   |    boy     |    boy     |     1      |
|  jalayah   |    girl    |    girl    |     1      |
|   amyri    |    girl    |    girl    |     1      |
|    cana    |    girl    |    girl    |     1      |
|  areebah   |    girl    |    girl    |     1      |
|   kymir    |    boy     |    boy     |     1      |
|   zyair    |    boy     |    boy     |     1      |
|   ignatz   |    girl    |    boy     |     0      |
|   merri    |    girl    |    girl    |     1      |
|   kyrian   |    boy     |    boy     |     1      |
|  brittany  |    girl    |    both    |     0      |
|  shaqueen  |    girl    |    girl    |     1      |
|   drina    |    girl    |    girl    |     1      |
|   noach    |    boy     |    boy     |     1      |
|   arnav    |    boy     |    boy     |     1      |
|   eliana   |    girl    |    both    |     0      |
|    bay     |    both    |    girl    |     0      |
|  zunairah  |    girl    |    girl    |     1      |
|   kalina   |    girl    |    girl    |     1      |
|   jeanny   |    girl    |    girl    |     1      |
|   julio    |    boy     |    both    |     0      |
|   rosbel   |    boy     |    boy     |     1      |
|   ashmit   |    boy     |    boy     |     1      |
|   tamiah   |    girl    |    girl    |     1      |
|  kyleigh   |    girl    |    girl    |     1      |
|   colyn    |    girl    |    boy     |     0      |
|  baudelia  |    girl    |    girl    |     1      |
|  kalysta   |    girl    |    girl    |     1      |
| luismario  |    boy     |    boy     |     1      |
|  vanisha   |    girl    |    girl    |     1      |
|   navaeh   |    girl    |    girl    |     1      |
|  matthieu  |    boy     |    boy     |     1      |
|   benuel   |    boy     |    boy     |     1      |
|  eddison   |    boy     |    boy     |     1      |
|   omayra   |    girl    |    girl    |     1      |
|   terryn   |    boy     |    girl    |     0      |
|   jaques   |    boy     |    boy     |     1      |
|   luana    |    girl    |    girl    |     1      |
|   shella   |    girl    |    girl    |     1      |
|   aubry    |    girl    |    both    |     0      |
|   tasfia   |    girl    |    girl    |     1      |
|    ayva    |    girl    |    girl    |     1      |
|   dolph    |    boy     |    boy     |     1      |
|   kaori    |    girl    |    girl    |     1      |
|   takita   |    girl    |    girl    |     1      |
|  aubriel   |    girl    |    girl    |     1      |
|  kenyanna  |    girl    |    girl    |     1      |
|  chaselyn  |    girl    |    girl    |     1      |
|  aleecia   |    girl    |    girl    |     1      |
|  tiandra   |    girl    |    girl    |     1      |
|    tala    |    girl    |    girl    |     1      |
|   marjie   |    girl    |    girl    |     1      |
|   rickie   |    both    |    both    |     1      |
|  ludivina  |    girl    |    girl    |     1      |
|   aadvik   |    boy     |    boy     |     1      |
|   aymar    |    boy     |    girl    |     0      |
|   sharia   |    girl    |    girl    |     1      |
|  kamaria   |    girl    |    girl    |     1      |
|   besim    |    boy     |    boy     |     1      |
|   morris   |    boy     |    both    |     0      |
|  shaunda   |    girl    |    girl    |     1      |
|   shuaib   |    boy     |    boy     |     1      |
|   talik    |    boy     |    boy     |     1      |
|   heily    |    girl    |    girl    |     1      |
| victorino  |    boy     |    boy     |     1      |
|    hawk    |    boy     |    boy     |     1      |
|   darris   |    boy     |    boy     |     1      |
|  erubiel   |    boy     |    boy     |     1      |
|  guiliana  |    girl    |    girl    |     1      |
|   padma    |    girl    |    girl    |     1      |
| belladonna |    girl    |    girl    |     1      |
|  shantika  |    girl    |    girl    |     1      |
|   brylon   |    boy     |    boy     |     1      |
|   mikkel   |    boy     |    boy     |     1      |
|  yakelin   |    girl    |    girl    |     1      |
|  jevonte   |    boy     |    boy     |     1      |
|   tamre    |    girl    |    girl    |     1      |
|   lorez    |    girl    |    girl    |     1      |
|  shakeya   |    girl    |    girl    |     1      |
|   deanna   |    girl    |    both    |     0      |
|  shaheed   |    boy     |    boy     |     1      |
|   linsy    |    girl    |    girl    |     1      |
|  jessicca  |    girl    |    girl    |     1      |
|   blayne   |    girl    |    both    |     0      |
|   ryatt    |    girl    |    boy     |     0      |
|  rashawn   |    boy     |    both    |     0      |
|   sahmir   |    boy     |    boy     |     1      |
|  rhiannon  |    girl    |    girl    |     1      |
|  alfonzo   |    boy     |    boy     |     1      |
|   tizoc    |    boy     |    boy     |     1      |
| chauntelle |    girl    |    girl    |     1      |
|    cumi    |    girl    |    girl    |     1      |
| sebastiano |    boy     |    boy     |     1      |
|   addam    |    boy     |    boy     |     1      |
|   molli    |    girl    |    girl    |     1      |
|   madix    |    boy     |    boy     |     1      |
|  daphnie   |    girl    |    girl    |     1      |
|  candido   |    boy     |    boy     |     1      |
|    moon    |    boy     |    girl    |     0      |
|   eleyna   |    girl    |    girl    |     1      |

Correct on 2421 of 3041 (80.0%)
